Thématique;Sous-thème;mot;noyau;genre;mot en chinois;phrases françaises;phrases chinoises;tag;
vie;vie;vie;0;f.;??;C'est une question de vie ou de mort.;?????????;vie/question/mort;
vie;vie;vivre;1;v.;?? ;Il vit dans un village.;??????????;vivre /village;
vie;vie;exister;1;v.;??;Une vache à cinq pattes, ça n'existe pas.;?????????;vache /cinq /patte /exister;
vie;vie;existence;1;f.;??;Ils mènent une existence agréable.;??????????;mener /existence /agréable;
vie;vie;biologie;1;f.;???;La biologie est la science de la vie.;?????????;biologie /science /vie;
vie;vie;survivre;1;v.;??;Il a survécu à l'accident d'avion.;????????;survivre/accident/avion;
vie;conception;concevoir;0;v.;??;Leur enfant a été conçu durant les vacances.;????????????????;concevoir /vacances;
vie;conception;grossesse;1;f.;??;C'est son cinquième mois de grossesse.;??????????.;mois /grossesse;
vie;conception;embryon;1;m.;??;Il fait des études sur les embryons.;??????????;étude /embryon;
vie;conception;contraception;1;f.;??;Quels sont les moyens de contraception?;????????;moyen /contraception;
vie;conception;préservatif;1;m.;???;C'est une boîte de préservatifs.;????????;boîte /préservatif;
vie;conception;pilule;1;f.;??/???;Elle a oublié de prendre sa pilule.;???????;oublier /pilule /prendre;
vie;conception;avorter;1;v.;??;Elle a décidé d'avorter.;?????.;avorter/décider;
vie;conception;avortement;1;m.;??;Son association défend le droit à l'avortement.;????????????;association /défendre /droit /avortement;
vie;naissance;naissance;0;f.;??;Où es-tu né ? (F. Tu es né où ?);???????;où /naître;
vie;naissance;naître;1;v.;??;Il est né à Paris.;???????;naître;
vie;naissance;enfanter;1;v.;??;Il a été enfanté dans la douleur.;????????;enfanter /douleur;
vie;naissance;anniversaire;1;m.;??;Joyeux anniversaire !;?????;anniversaire /joyeux;
vie;naissance;accoucher;1;v.;??;Ma soeur a accouché hier.;????????;accoucher;
vie;naissance;accouchement;1;m.;??;Où vas-tu après ton accouchement ?;??????????;accouchement;
vie;naissance;fécondité;1;f.;???;Le taux de fécondité dans ce pays est élevé.;????????????;taux /fécondité /pays;
vie;naissance;stérile;1;adj.;???;Son épouse était stérile.;?????????;épouse /stérile;
vie;bébé;bébé;0;m.;??;Leur bébé a sept mois.;?????7????;bébé /mois;
vie;bébé;biberon;1;m.;??;Le bébé n'a pas encore pris son biberon.;???????;bébé /biberon /prendre;
vie;bébé;berceau;1;m.;??;Le bébé dort dans le berceau.;??????????;bébé /dormir /berceau;
vie;bébé;téter;1;v.;??;Le bébé tète au sein.;????????;bébé /téter /sein;
vie;bébé;bercer;1;v.;?/??;Elle s'est laissé bercer par ses paroles.;????????;bercer /parole;
vie;mort;mort;0;f.;?;La mort est naturelle.;????????;mort /naturelle;
vie;mort;mourir;1;v.;??;Il est mort d'un cancer.;??????;mourir /cancer;
vie;mort;cadavre;1;m.;??;Ils ont découvert un cadavre dans le grenier.;??????????????;découvrir /cadavre /grenier;
vie;mort;cercueil;1;m.;??;Ils ont porté le cercueil jusqu'à l'église.;????????????;cercueil /église;
vie;mort;enterrer;1;v.;??;Son ami a été enterré aujourd'hui.;?????????;enterrer /ami /aujourd'hui;
vie;mort;crémation;1;f.;??;Son père a choisi la crémation plutôt que l'enterrement.;???????????????;crémation /enterrement;
vie;mort;tombe;1;f.;?;Il s'est rendu sur la tombe de ses ancêtres.;??????????;tombe /ancêtre;
vie;mort;funérailles;1;f.;??;J'ai assisté à ces funérailles.;????????;assister /funérailles;
vie;mort;obsèques;1;f.;??;Ils ont préparé des obsèques solennelles.;??????????;préparer /obsèques;
vie;mort;cimetière;1;m.;??;Il est enterré au cimetière du village.;??????????;enterrer /cimetière /village;
vie;tuer;tuer;0;v.;??;Il a été tué dans un accident de voiture.;??????????;tuer /accident /voiture;
vie;tuer;meurtrier;1;n.;??;Peut-on imaginer que ce soit un meurtrier ?;?????????????;imaginer /meurtrier;
vie;tuer;assassiner;1;v.;??;Il a été assassiné le soir près de la gare.;????????????;assassiner /soir /gare;
vie;tuer;assassin;1;m.;??;Personne ne connaît l'assassin.;???????;connaître /assassin;
vie;tuer;suicide;1;m.;??;Elle a fait une tentative de suicide.;????????;tentative /suicide;
vie;tuer;suicider (se);1;v.;??;Il a tenté de se suicider.;??????;tenter /suicider (se);
vie;âge;âge;0;m.;??;Quel âge as-tu ? (F. Tu as quel âge ?);?????;âge /quel;
vie;âge;âgé, e;1;adj.;??;Il est trop âgé pour ce métier.;???????????;âgé /métier;
vie;âge;jeunesse;1;f.;??;La jeunesse est un âge heureux.;??????????;jeunesse /heureux /âge;
vie;âge;jeune ;1;n. / adj.;???;Cette fête a fait venir beaucoup de jeunes.;?????????????;fête /venir /jeune;
vie;âge;vieux, eille;1;adj.;?;Ce vélo est très vieux, il a plus de cent ans!;????????????????;vélo /vieux /an;
vie;âge;vieillesse;1;f.;??;Où s'installeront-ils pour leur vieillesse ?;???????????? ;installer (s') /vieillesse;
vie;âge;adolescent, e;1;n. / adj.;???;Les adolescents sont parfois maladroits.;??????????;adolescent /maladroit;
vie;âge;quinquagénaire;1;n. / adj.;??????;Les quinquagénaires se sentent de plus en plus jeunes.;??????????????;quinquagénaire /sentir (se) /jeune;
vie;âge;octogénaire;1;n. / adj.;??????;Ils accueillent plusieurs octogénaires durant l'été.;??????????????????????;accueillir /octogénaire;
vie;âge;adulte;1;n. / adj.;??;Son comportement n'est pas très adulte.;??????????;comportement /adulte;
vie;cellule;cellule;0;f.;??;Il étudie les cellules au microscope.;???????????;étudier /cellule /microscope;
vie;cellule;unicellulaire;1;n. / adj.;???;Est-ce un organisme unicellulaire ou pluricellulaire ?;????????????????;organisme /unicellulaire /pluricellulaire;
vie;cellule;pluricellulaire;1;n. / adj.;???;Est-ce un organisme unicellulaire ou pluricellulaire ?;?????????? ??????;organisme /unicellulaire /pluricellulaire;
vie;cellule;chromosome;1;m.;???;Il est porteur d'un chromosome rare.;????????????;porteur /chromosome /rare;
vie;cellule;clone;1;m.;??;Ce laboratoire travaille sur les clones.;??????????????;laboratoire /clone;
vie;cellule;A.D.N.;1;m.;??????;Ils ont analysé l'A. D. N. du meurtrier.;???????????????;analyser /A.D.N. /meurtrier;
vie;cellule;génétique;1;f.;???;La génétique est une science qui a beaucoup évolué.;???????????;génétique /science /évoluer;
vie;organisme vivant;organisme vivant;0;m.;??;Ces produits ont une action contre tout organisme vivant.;??????????????;produit /action /organismevivant;
vie;organisme vivant;bactérie;1;f.;??;Ce médicament combat les bactéries.;????????;médicament /combattre /bactérie;
vie;vie;être vivant;1;;??/??;Il est important de protéger tous les êtres vivants.;??????????;protéger /être vivant /important;
vie;organisme vivant;virus;1;m.;??;Il a été vacciné contre le virus de la grippe.;?????????;vacciner /virus /grippe;
vie;organisme vivant;microbe;1;m.;???;Il a peur des microbes et se lave tout le temps les mains.;?????????????;peur /microbe /laver (se) /main;
vie;conception;enceinte;1;f. / adj.;??;Elle est enceinte de cinq mois.;???5????;enceinte /mois;
vie;tuer;étrangler;1;v.;??;Cette ceinture m'étrangle.;??????????;ceinture/étrangler;
vie;conception;fertile;1;adj.;???;Ce champ est très fertile.;???????;champ /fertile;
vie;cellule;hérédité;1;f.;?? ;Tout est une question d'hérédité.;????????;question /hérédité;
vie;âge;jumeaux, elles;1;adj.;???;Mes neveux sont jumeaux.;?????????;neveu /jumeau /jumelle;
vie;âge;majorité;1;f.;??;La majorité en France est à 18 ans.;??18????;France /majorité /an;
vie;âge;majeur, e;1;n. / adj.;??;Cette soirée est réservée aux gens majeurs.;????????????;soirée /réserver /gens /majeur;
vie;âge;mineur, e;1;n. / adj.;???;Sa fille est encore mineure.;?????????;fille /mineure;
vie;mort;noyer;1;v.;??;Il est tombé dans le lac et a failli se noyer.;???????????;tomber /lac /noyer (se);
vie;organisme vivant;parasite;1;m.;???;Cet animal est couvert de parasites.;??????????;animal /couvrir /parasite;
vie;tuer;poison;1;m.;??;Il a avalé un poison mortel.;? ???????????;avaler /poison /mortel;
vie;tuer;empoisonner;1;v.;??;Il est mort empoisonné.;??????;mourir /empoisonner;
vie;naissance;sage-femme;1;f.;???;Elle a rencontré la sage-femme qui l'aidera à accoucher.;???????????????;rencontrer /sage-femme /accoucher /aider;
alimentation;manger;manger;0;v.;?;Il ne faut pas manger trop vite!;???????;manger /vite;
alimentation;manger;aliment;1;m.;??;Pour la santé il faut varier les aliments.;?????????????;santé /aliment /varier;
alimentation;manger;nourrir;1;v.;?;Elle nourrit ses chiens.;???.;nourrir /chien;
alimentation;manger;nourriture;1;f.;??;Quelle nourriture donnes-tu à tes chats?;?????????;nourriture /donner /chat;
alimentation;manger;comestible;1;adj.;????;Tous les champignons ne sont pas comestibles.;????????????;champignon /comestible;
alimentation;manger;jeûner;1;v.;??;Ils jeûnent deux semaines chaque année.;?????????;jeûner /semaine /année;
alimentation;manger;frais, îche;1;adj.;???;Cette eau est bien fraîche.;??????;eau /frais, îche;
alimentation;manger;régime;1;m.;????;Elle est au régime sans sel.;??????????;régime /sel;
alimentation;manger;diététique;1;adj.;???;Ce livre traite de la diététique.;???????????;livre /traiter /diététique;
alimentation;manger;gastronomie;1;f.;???;C'est un véritable repas de gastronomie.;?????????;véritable /repas /gastronomie;
alimentation;manger;appétit;1;m.;??;Il a très bon appétit.;??????;appétit /avoir;
alimentation;manger;faim;1;f.;?;La faim me tenaille l'estomac.;????????;faim /tenailler /estomac;
alimentation;saveur;saveur;0;f.;?? ;Ce plat n'a aucune saveur.;???????;plat /saveur;
alimentation;saveur;sel;1;m.;?;Elle suit un régime sans sel.;??????????;suivre /régime /sel;
alimentation;saveur;salé, e;1;adj.;??;Je ne mange pas trop salé.;???????;manger /salé;
alimentation;saveur;sucre;1;m.;?;Tu mets du sucre dans le thé?;????????;mettre /sucre /thé;
alimentation;saveur;sucré, e;1;adj.;??;Ce dessert était trop sucré.;????????;dessert /sucré;
alimentation;saveur;goût;1;m.;?? ;J'aime beaucoup le goût de ces fruits.;????????????;aimer /goût /fruit;
alimentation;saveur;goûter;1;m. /v.;?? / ????;Tu viens à l'heure du goûter?;?????????;goûter /heure;
alimentation;saveur;acide;1;adj.;??;Le citron est acide.;??????;citron /acide;
alimentation;saveur;acidité;1;f.;??;Est-ce que tu supportes l'acidité du citron?;????????????;supporter /acidité/citron;
alimentation;saveur;amer, ère;1;adj.;??;Il adore le chocolat amer.;????????;chocolat /amer;
alimentation;saveur;amertume;1;f.;??;Ces aubergines ont une certaine amertume.;?????????;aubergine /amertume;
alimentation;saveur;épice;1;f.;??;J'utilise régulièrement des épices.;??????;utiliser /régulièrement /épice;
alimentation;saveur;assaisonner;1;v.;??/??;Il a très bien assaisonné la salade.;???????????;assaisonner /salade;
alimentation;saveur;assaisonnement;1;m.;??;Elle a préparé un assaisonnement vinaigré.;?????????;préparer /assaisonnement /vinaigré;
alimentation;saveur;huile;1;f.;?;Je fais frire dans l'huile chaude.;????????;frire /huile /chaude;
alimentation;saveur;graisse;1;f.;??;Ce canard a beaucoup de graisse.;???????;canard /graisse;
alimentation;saveur;gras, sse;1;adj.;???;Cette poule est bien grasse.;??????;poule /grasse;
alimentation;saveur;épicé, e;1;adj.;??;Cette sauce est très épicée.;???????;sauce /épicé;
alimentation;saveur;moutarde;1;f.;??;La moutarde Dijon est très célèbre.;?????????;moutarde /Dijon /célèbre;
alimentation;saveur;condiment;1;m.;???;Tu le trouveras sur l'étagère des condiments.;????????????;trouver /étagère /condiment;
alimentation;boire;boire;0;v.;?;Voulez-vous boire un jus de fruit?;??????????;boire /jus /fruit;
alimentation;boire;boisson;1;f.;??;Quelle est votre boisson préférée?;?????????;boisson ;
alimentation;boire;potable;1;adj.;????;L'eau de cette fontaine est potable.;??????????;eau /fontaine /potable;
alimentation;alcool;alcool;1;m.;??/?;Cet alcool est trop fort.;??????;alcool /fort;
alimentation;alcool;alcoolisé, e;1;adj.;????;Il ne boit aucune boisson alcoolisée.;????????????;boire /boisson /alcoolisé;
alimentation;alcool;soûl, e;1;adj.;?;Il a l'air un peu saoul, non? ;?????????????;air /saoul;
alimentation;alcool;vin;1;m.;?;C'est un vin rouge à 12 degrés.;???12??;vin /rouge;
alimentation;alcool;vignoble;1;f.;??;Ces vignobles sont de grande qualité.;????????;vignoble /qualité;
alimentation;alcool;bière;1;f.;??;Préférez-vous la bière blonde ou brune?;?????????????;bière /blonde /brune;
alimentation;lait;lait;1;m.;??;Je prends du lait demi écrémé.;????????;lait /demi /écrémé /prendre;
alimentation;lait;laitage;1;m.;??;Il faut manger des laitages pour être en bonne santé.;??????????;manger /laitage /santé;
alimentation;lait;fromage;1;m.;??;C'est un fromage de brebis.;??????;fromage /brebis;
alimentation;lait;beurre;1;m.;??;Peux-tu remettre le beurre au réfrigérateur ?;????????????;remettre /beurre /réfrigérateur;
alimentation;lait;beurrer;1;v.;???;J'aime bien la tartine beurrée.;???????????;tartine /beurrer;
alimentation;lait;crème;1;f.;??;Il a préparé une crème pâtissière.;???????;crème /pâtissière /préparer;
alimentation;lait;lait écrémé;1;m.;????;Je préfère le lait écrémé.;????????;lait /écrémé /préférer;
alimentation;lait;lait demi écrémé;1;m.;????;Il n'y a plus de lait demi écrémé.;????????;lait /demi /écrémé;
alimentation;viande;viande;1;f.;?;J'ai coupé la viande de veau.;??????;couper /viande /veau;
alimentation;viande;boucher, ère;1;m.;??;Tu achètes ta viande chez le boucher.;?????????;acheter /viande /boucher;
alimentation;viande;boucherie;1;f.;??;Je suis cliente de cette boucherie.;??????????;cliente /boucherie;
alimentation;viande;steak;1;m.;??;Ce steak est bien tendre.;??????;steak /tendre;
alimentation;viande;bifteck;1;m.;??;J'aime le bifteck plutôt saignant.;??????????;bifteck /saignant;
alimentation;farine;farine;0;f.;??;J'utilise de la farine complète.;??????;utiliser /farine /compète;
alimentation;farine;pain;1;m.;??;Je fais le pain moi-même.;???????;pain /faire;
alimentation;farine;baguette;1;f.;?;Va acheter une baguette.;??????;acheter /baguette;
alimentation;farine;pâte;1;f.;?;Je fais le pâte moi-même.;??????;pâte /faire;
alimentation;farine;pâtes;1;f. pl.;??;Il y a toutes sortes de pâtes.;???????;sorte /pâte;
alimentation;farine;nouilles;1;f. pl.;??;Les nouilles sont vite cuites.;??????;nouilles /cuite /vite;
alimentation;farine;pétrir;1;v.;?;Il faut bien pétrir la pâte à pain.;???????????;pétrir /pâte /pain;
alimentation;farine;levure;1;f.;??;J'ai besoin d'un peu plus de levure.;???????????;levure /avoir /besoin;
alimentation;farine;boulangerie;1;f.;???;La boulangerie est au bout de la rue.;???????;boulangerie /bout /rue;
alimentation;sucrerie;sucrerie;0;f.;??;Il n'est pas conseillé de manger trop de sucreries.;??????????;conseiller /manger /sucrerie;
alimentation;sucrerie;gâteau;1;m.;??;J'aime bien les petits gâteaux.;????????;gâteau /aimer;
alimentation;sucrerie;tarte;1;f.;??;J'ai fait une tarte aux pommes.;??????????;tarte /pomme;
alimentation;sucrerie;bonbon;1;m.;?;Un bonbon chacun pas plus.;??????????;bonbon /chacun;
alimentation;sucrerie;pâtisserie;1;f.;???;J'achète mes gâteaux dans cette pâtisserie.;???????????;acheter /gâteau /pâtisserie;
alimentation;sucrerie;pâtissier, ère;1;n.;????/???;Il a fait un petit détour chez le pâtissier.;??????????;petit /détour /pâtissier;
